year,name,age,sex,genotype,value
2020,cancers_rate_ratios,0,female,total,0
2020,cancers_rate_ratios,15,female,total,0
2020,cancers_rate_ratios,20,female,total,10.91421747
2020,cancers_rate_ratios,25,female,total,5.852433211
2020,cancers_rate_ratios,30,female,total,6.807731553
2020,cancers_rate_ratios,35,female,total,5.692183628
2020,cancers_rate_ratios,40,female,total,4.206966547
2020,cancers_rate_ratios,45,female,total,4.015067524
2020,cancers_rate_ratios,50,female,total,4.600095904
2020,cancers_rate_ratios,55,female,total,3.792487437
2020,cancers_rate_ratios,60,female,total,4.003499268
2020,cancers_rate_ratios,65,female,total,6.182631107
2020,cancers_rate_ratios,70,female,total,4.461592274
2020,cancers_rate_ratios,75,female,total,6.327803204
2020,cancers_rate_ratios,80,female,total,9.488695652
2020,cancers_rate_ratios,85,female,total,24.05089989
