year,age,hiv,value
2019,20-24,Negative,1
2019,25-29,Negative,8
2019,30-34,Negative,16
2019,35-39,Negative,24
2019,40-44,Negative,59
2019,45-49,Negative,51
2019,50-54,Negative,50
2019,55-59,Negative,43
2019,60-64,Negative,51
2019,65-69,Negative,36
2019,70-74,Negative,23
2019,75-79,Negative,22
2019,80+,Negative,12
2019,20-24,Positive,2
2019,25-29,Positive,7
2019,30-34,Positive,38
2019,35-39,Positive,69
2019,40-44,Positive,100
2019,45-49,Positive,85
2019,50-54,Positive,54
2019,55-59,Positive,38
2019,60-64,Positive,17
2019,65-69,Positive,8
2019,70-74,Positive,4
2019,75-79,Positive,4
2019,80+,Positive,2
2019,15-19,Unknown,2
2019,20-24,Unknown,9
2019,25-29,Unknown,18
2019,30-34,Unknown,59
2019,35-39,Unknown,82
2019,40-44,Unknown,118
2019,45-49,Unknown,105
2019,50-54,Unknown,73
2019,55-59,Unknown,69
2019,60-64,Unknown,51
2019,65-69,Unknown,49
2019,70-74,Unknown,39
2019,75-79,Unknown,22
2019,80+,Unknown,45
2020,20-24,Negative,3
2020,25-29,Negative,10
2020,30-34,Negative,16
2020,35-39,Negative,31
2020,40-44,Negative,54
2020,45-49,Negative,60
2020,50-54,Negative,51
2020,55-59,Negative,51
2020,60-64,Negative,48
2020,65-69,Negative,34
2020,70-74,Negative,26
2020,75-79,Negative,13
2020,80+,Negative,15
2020,20-24,Positive,2
2020,25-29,Positive,10
2020,30-34,Positive,34
2020,35-39,Positive,77
2020,40-44,Positive,98
2020,45-49,Positive,108
2020,50-54,Positive,84
2020,55-59,Positive,40
2020,60-64,Positive,20
2020,65-69,Positive,16
2020,70-74,Positive,3
2020,75-79,Positive,2
2020,80+,Positive,2
2020,15-19,Unknown,1
2020,20-24,Unknown,11
2020,25-29,Unknown,18
2020,30-34,Unknown,37
2020,35-39,Unknown,89
2020,40-44,Unknown,113
2020,45-49,Unknown,117
2020,50-54,Unknown,75
2020,55-59,Unknown,63
2020,60-64,Unknown,68
2020,65-69,Unknown,49
2020,70-74,Unknown,23
2020,75-79,Unknown,13
2020,80+,Unknown,49
2021,20-24,Negative,6
2021,25-29,Negative,9
2021,30-34,Negative,15
2021,35-39,Negative,29
2021,40-44,Negative,57
2021,45-49,Negative,48
2021,50-54,Negative,46
2021,55-59,Negative,41
2021,60-64,Negative,30
2021,65-69,Negative,32
2021,70-74,Negative,24
2021,75-79,Negative,14
2021,80+,Negative,11
2021,20-24,Positive,2
2021,25-29,Positive,10
2021,30-34,Positive,27
2021,35-39,Positive,69
2021,40-44,Positive,78
2021,45-49,Positive,94
2021,50-54,Positive,74
2021,55-59,Positive,48
2021,60-64,Positive,26
2021,65-69,Positive,16
2021,70-74,Positive,3
2021,75-79,Positive,1
2021,15-19,Unknown,2
2021,20-24,Unknown,7
2021,25-29,Unknown,21
2021,30-34,Unknown,49
2021,35-39,Unknown,63
2021,40-44,Unknown,105
2021,45-49,Unknown,86
2021,50-54,Unknown,86
2021,55-59,Unknown,60
2021,60-64,Unknown,55
2021,65-69,Unknown,42
2021,70-74,Unknown,37
2021,75-79,Unknown,16
2021,80+,Unknown,31
2022,20-24,Negative,1
2022,25-29,Negative,5
2022,30-34,Negative,13
2022,35-39,Negative,27
2022,40-44,Negative,36
2022,45-49,Negative,48
2022,50-54,Negative,46
2022,55-59,Negative,39
2022,60-64,Negative,25
2022,65-69,Negative,29
2022,70-74,Negative,25
2022,75-79,Negative,8
2022,80+,Negative,14
2022,25-29,Positive,5
2022,30-34,Positive,24
2022,35-39,Positive,47
2022,40-44,Positive,94
2022,45-49,Positive,88
2022,50-54,Positive,61
2022,55-59,Positive,43
2022,60-64,Positive,20
2022,65-69,Positive,11
2022,70-74,Positive,7
2022,75-79,Positive,2
2022,80+,Positive,3
2022,15-19,Unknown,2
2022,20-24,Unknown,8
2022,25-29,Unknown,9
2022,30-34,Unknown,27
2022,35-39,Unknown,59
2022,40-44,Unknown,96
2022,45-49,Unknown,99
2022,50-54,Unknown,73
2022,55-59,Unknown,61
2022,60-64,Unknown,58
2022,65-69,Unknown,43
2022,70-74,Unknown,31
2022,75-79,Unknown,9
2022,80+,Unknown,27
