year,name,age,sex,genotype,value
2019,cancers_no_hiv,0,female,total,0
2019,cancers_no_hiv,15,female,total,0
2019,cancers_no_hiv,20,female,total,3
2019,cancers_no_hiv,25,female,total,10
2019,cancers_no_hiv,30,female,total,16
2019,cancers_no_hiv,35,female,total,31
2019,cancers_no_hiv,40,female,total,54
2019,cancers_no_hiv,45,female,total,60
2019,cancers_no_hiv,50,female,total,51
2019,cancers_no_hiv,55,female,total,51
2019,cancers_no_hiv,60,female,total,48
2019,cancers_no_hiv,65,female,total,34
2019,cancers_no_hiv,70,female,total,26
2019,cancers_no_hiv,75,female,total,13
2019,cancers_no_hiv,80,female,total,15
2019,cancers_no_hiv,85,female,total,0
