year,name,age,sex,genotype,value
2021,cancer_hiv_rate_ratios,0,female,total,1
2021,cancer_hiv_rate_ratios,15,female,total,1
2021,cancer_hiv_rate_ratios,20,female,total,11.04661623
2021,cancer_hiv_rate_ratios,25,female,total,6.269860477
2021,cancer_hiv_rate_ratios,30,female,total,9.125446412
2021,cancer_hiv_rate_ratios,35,female,total,8.651111804
2021,cancer_hiv_rate_ratios,40,female,total,5.735533274
2021,cancer_hiv_rate_ratios,45,female,total,5.515827064
2021,cancer_hiv_rate_ratios,50,female,total,4.795402408
2021,cancer_hiv_rate_ratios,55,female,total,4.577830864
2021,cancer_hiv_rate_ratios,60,female,total,3.528747601
2021,cancer_hiv_rate_ratios,65,female,total,4.023337097
2021,cancer_hiv_rate_ratios,70,female,total,2.296850139
2021,cancer_hiv_rate_ratios,75,female,total,2.288402417
2021,cancer_hiv_rate_ratios,80,female,total,3.399552072
