age,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,0,0,0,0,0,0,2.60E-05,3.20E-05,6.00E-05,1.09E-04,1.97E-04,3.46E-04,5.92E-04,9.88E-04,0.001589,0.002422,0.003533,0.004891,0.006318,0.007741,0.009104,0.010209,0.011057,0.011724,0.012143,0.012406,0.012522,0.012552,0.012402,0.012164,0.011908,0.011695,0.011437,0.011096,0.009941,0.00854,0.007708,0.00784,0.006607,0.005743,0.005415,0.004537,0.004653,0.004167,0.003938,0.0043,0.003831,0.00271,0.00295,0.001893,0.00167,0.001581,0.001417,0.001298,0.001221,0.001179,0.001145,0.00112,0.001097,0.001077,0.001058
1,0,0,0,0,0,0,0,2.00E-05,2.40E-05,4.60E-05,8.40E-05,1.52E-04,2.66E-04,4.56E-04,7.60E-04,0.001222,0.001861,0.002713,0.003753,0.004838,0.005913,0.006934,0.007749,0.008362,0.008837,0.009118,0.009279,0.009339,0.009339,0.009207,0.009015,0.008806,0.008627,0.008408,0.008132,0.007358,0.006099,0.005278,0.00442,0.003005,0.002486,0.002095,0.002631,0.001902,0.001231,6.39E-04,4.72E-04,3.76E-04,0.001501,8.74E-04,0.001538,7.88E-04,7.05E-04,6.53E-04,4.94E-04,5.53E-04,5.47E-04,5.30E-04,5.01E-04,4.78E-04,4.59E-04
2,0,0,0,0,0,0,0,0,1.60E-05,1.80E-05,3.50E-05,6.30E-05,1.14E-04,2.00E-04,3.42E-04,5.70E-04,9.15E-04,0.001391,0.002025,0.002796,0.003594,0.004377,0.005116,0.005696,0.00612,0.006446,0.006627,0.006722,0.006752,0.006738,0.006634,0.006488,0.006332,0.006192,0.006028,0.005927,0.005232,0.004207,0.003641,0.002689,0.001887,0.00131,0.001243,0.001481,9.24E-04,5.34E-04,2.82E-04,2.09E-04,1.95E-04,7.13E-04,6.61E-04,9.04E-04,4.59E-04,4.16E-04,3.52E-04,2.91E-04,3.27E-04,3.23E-04,3.09E-04,2.90E-04,2.74E-04
3,0,0,0,0,0,0,0,0,0,3.00E-06,3.00E-06,6.00E-06,1.20E-05,2.10E-05,3.80E-05,6.40E-05,1.07E-04,1.72E-04,2.62E-04,3.81E-04,5.27E-04,6.79E-04,8.30E-04,9.72E-04,0.001085,0.001169,0.001233,0.001269,0.001288,0.001294,0.001292,0.001271,0.001243,0.001212,0.001185,0.001196,0.001167,0.001008,8.25E-04,6.86E-04,5.45E-04,4.06E-04,3.01E-04,2.95E-04,3.08E-04,2.16E-04,1.50E-04,1.07E-04,1.08E-04,9.80E-05,1.69E-04,1.58E-04,1.61E-04,1.02E-04,9.00E-05,7.90E-05,7.10E-05,7.40E-05,7.20E-05,6.80E-05,6.50E-05
4,0,0,0,0,0,0,0,0,0,0,3.00E-06,3.00E-06,6.00E-06,1.10E-05,2.10E-05,3.60E-05,6.20E-05,1.03E-04,1.66E-04,2.52E-04,3.68E-04,5.09E-04,6.56E-04,8.01E-04,9.40E-04,0.001049,0.00113,0.001192,0.001228,0.001246,0.001252,0.00125,0.00123,0.001202,0.001172,0.001206,0.001187,0.00108,9.15E-04,7.17E-04,6.11E-04,4.92E-04,3.88E-04,2.96E-04,2.85E-04,2.81E-04,2.06E-04,1.47E-04,1.15E-04,1.07E-04,1.02E-04,1.64E-04,1.48E-04,1.43E-04,9.30E-05,8.30E-05,7.50E-05,6.70E-05,6.80E-05,6.60E-05,6.30E-05
5,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,8.00E-06,1.40E-05,2.40E-05,4.10E-05,6.80E-05,1.09E-04,1.65E-04,2.39E-04,3.29E-04,4.20E-04,5.08E-04,5.90E-04,6.51E-04,6.94E-04,7.25E-04,7.39E-04,7.44E-04,7.43E-04,7.37E-04,7.22E-04,7.04E-04,7.01E-04,6.87E-04,6.37E-04,5.68E-04,4.54E-04,3.77E-04,3.33E-04,2.91E-04,2.42E-04,1.92E-04,1.81E-04,1.73E-04,1.33E-04,1.10E-04,8.90E-05,9.70E-05,9.30E-05,1.05E-04,1.00E-04,8.60E-05,6.30E-05,5.60E-05,5.10E-05,4.70E-05,4.70E-05,4.50E-05
6,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,8.00E-06,1.40E-05,2.40E-05,4.10E-05,6.90E-05,1.10E-04,1.66E-04,2.41E-04,3.31E-04,4.22E-04,5.11E-04,5.93E-04,6.55E-04,6.98E-04,7.29E-04,7.44E-04,7.48E-04,7.48E-04,7.42E-04,7.27E-04,7.27E-04,7.20E-04,6.66E-04,6.07E-04,5.17E-04,4.35E-04,3.57E-04,3.28E-04,2.92E-04,2.43E-04,1.89E-04,1.84E-04,1.70E-04,1.46E-04,1.10E-04,9.80E-05,1.04E-04,9.80E-05,1.06E-04,9.90E-05,8.40E-05,6.30E-05,5.70E-05,5.10E-05,4.80E-05,4.70E-05
7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,8.00E-06,1.40E-05,2.40E-05,4.10E-05,6.90E-05,1.10E-04,1.66E-04,2.41E-04,3.31E-04,4.23E-04,5.12E-04,5.94E-04,6.56E-04,7.00E-04,7.31E-04,7.46E-04,7.51E-04,7.50E-04,7.44E-04,7.49E-04,7.40E-04,7.07E-04,6.52E-04,5.65E-04,5.10E-04,4.21E-04,3.55E-04,3.31E-04,2.96E-04,2.40E-04,1.93E-04,1.82E-04,1.83E-04,1.39E-04,1.20E-04,1.05E-04,1.09E-04,1.03E-04,1.03E-04,9.90E-05,8.20E-05,6.40E-05,5.70E-05,5.20E-05,4.80E-05
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,8.00E-06,1.40E-05,2.40E-05,4.10E-05,6.90E-05,1.10E-04,1.66E-04,2.41E-04,3.31E-04,4.23E-04,5.11E-04,5.94E-04,6.56E-04,6.99E-04,7.31E-04,7.46E-04,7.50E-04,7.49E-04,7.66E-04,7.65E-04,7.31E-04,6.89E-04,6.04E-04,5.56E-04,4.87E-04,4.16E-04,3.57E-04,3.30E-04,2.87E-04,2.42E-04,1.89E-04,1.96E-04,1.67E-04,1.49E-04,1.25E-04,1.08E-04,1.13E-04,1.04E-04,1.01E-04,9.90E-05,8.00E-05,6.30E-05,5.70E-05,5.10E-05
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,8.00E-06,1.40E-05,2.40E-05,4.10E-05,6.80E-05,1.09E-04,1.65E-04,2.40E-04,3.29E-04,4.21E-04,5.09E-04,5.91E-04,6.53E-04,6.96E-04,7.28E-04,7.43E-04,7.47E-04,7.71E-04,7.79E-04,7.48E-04,7.07E-04,6.36E-04,5.94E-04,5.26E-04,4.77E-04,4.15E-04,3.57E-04,3.19E-04,2.90E-04,2.33E-04,2.05E-04,1.79E-04,1.77E-04,1.54E-04,1.27E-04,1.11E-04,1.15E-04,1.06E-04,1.01E-04,1.00E-04,7.80E-05,6.30E-05,5.70E-05
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,8.00E-06,1.40E-05,2.40E-05,4.10E-05,6.80E-05,1.08E-04,1.64E-04,2.38E-04,3.26E-04,4.17E-04,5.05E-04,5.86E-04,6.47E-04,6.91E-04,7.22E-04,7.37E-04,7.67E-04,7.86E-04,7.62E-04,7.23E-04,6.50E-04,6.24E-04,5.58E-04,5.14E-04,4.74E-04,4.12E-04,3.42E-04,3.14E-04,2.76E-04,2.47E-04,1.88E-04,1.91E-04,1.78E-04,1.54E-04,1.30E-04,1.13E-04,1.19E-04,1.10E-04,1.01E-04,1.00E-04,7.60E-05,6.30E-05
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,7.00E-06,1.30E-05,2.30E-05,4.00E-05,6.70E-05,1.07E-04,1.62E-04,2.35E-04,3.22E-04,4.12E-04,4.99E-04,5.79E-04,6.40E-04,6.83E-04,7.14E-04,7.64E-04,7.80E-04,7.63E-04,7.33E-04,6.61E-04,6.34E-04,5.75E-04,5.37E-04,5.03E-04,4.65E-04,3.94E-04,3.38E-04,2.98E-04,2.87E-04,2.27E-04,1.94E-04,1.94E-04,1.74E-04,1.54E-04,1.30E-04,1.15E-04,1.21E-04,1.12E-04,1.00E-04,1.00E-04,7.40E-05
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,7.00E-06,1.30E-05,2.30E-05,3.90E-05,6.60E-05,1.05E-04,1.59E-04,2.31E-04,3.17E-04,4.05E-04,4.91E-04,5.70E-04,6.30E-04,6.72E-04,7.42E-04,7.69E-04,7.54E-04,7.28E-04,6.63E-04,6.41E-04,5.83E-04,5.50E-04,5.23E-04,4.91E-04,4.46E-04,3.86E-04,3.20E-04,3.09E-04,2.64E-04,2.34E-04,1.98E-04,1.92E-04,1.73E-04,1.53E-04,1.31E-04,1.18E-04,1.25E-04,1.15E-04,1.00E-04,1.00E-04
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,7.00E-06,1.30E-05,2.30E-05,3.90E-05,6.40E-05,1.03E-04,1.56E-04,2.26E-04,3.11E-04,3.98E-04,4.82E-04,5.59E-04,6.18E-04,6.95E-04,7.47E-04,7.41E-04,7.20E-04,6.53E-04,6.41E-04,5.83E-04,5.55E-04,5.34E-04,5.07E-04,4.64E-04,4.28E-04,3.60E-04,3.31E-04,2.82E-04,2.71E-04,2.36E-04,1.96E-04,1.91E-04,1.69E-04,1.53E-04,1.33E-04,1.20E-04,1.27E-04,1.17E-04,1.00E-04
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,7.00E-06,1.30E-05,2.20E-05,3.80E-05,6.30E-05,1.01E-04,1.52E-04,2.21E-04,3.04E-04,3.89E-04,4.70E-04,5.47E-04,6.33E-04,6.95E-04,7.07E-04,6.96E-04,6.41E-04,6.23E-04,5.76E-04,5.53E-04,5.41E-04,5.12E-04,4.75E-04,4.46E-04,3.89E-04,3.67E-04,2.99E-04,2.87E-04,2.70E-04,2.28E-04,1.94E-04,1.84E-04,1.65E-04,1.53E-04,1.34E-04,1.22E-04,1.29E-04,1.18E-04
15,0,0,0,0,0,0,0,0,0,0,1.00E-06,1.00E-06,2.00E-06,3.00E-06,5.00E-06,7.00E-06,1.00E-05,1.30E-05,1.60E-05,1.80E-05,2.00E-05,2.30E-05,2.30E-05,2.60E-05,3.10E-05,4.00E-05,5.60E-05,8.40E-05,1.30E-04,1.98E-04,2.93E-04,4.19E-04,5.70E-04,6.70E-04,8.09E-04,9.06E-04,8.64E-04,6.33E-04,5.37E-04,4.92E-04,4.65E-04,4.26E-04,4.67E-04,4.15E-04,3.78E-04,3.31E-04,3.08E-04,2.79E-04,2.68E-04,2.47E-04,2.37E-04,2.11E-04,2.16E-04,1.77E-04,1.56E-04,1.54E-04,1.41E-04,1.30E-04,1.14E-04,1.06E-04,1.15E-04
16,0,0,0,0,0,0,0,1.00E-06,1.00E-06,1.00E-06,2.00E-06,4.00E-06,6.00E-06,1.10E-05,1.70E-05,2.60E-05,3.80E-05,5.20E-05,6.70E-05,8.00E-05,8.90E-05,9.50E-05,9.80E-05,9.70E-05,9.60E-05,9.40E-05,9.60E-05,1.04E-04,1.21E-04,1.50E-04,1.96E-04,2.62E-04,3.50E-04,4.25E-04,4.78E-04,5.48E-04,5.86E-04,5.00E-04,3.84E-04,3.70E-04,3.72E-04,3.52E-04,3.28E-04,3.72E-04,3.32E-04,3.14E-04,2.86E-04,2.68E-04,2.77E-04,2.57E-04,2.39E-04,1.91E-04,2.02E-04,1.69E-04,1.49E-04,1.39E-04,1.36E-04,1.25E-04,1.21E-04,1.10E-04,1.05E-04
17,0,0,0,0,0,0,0,1.00E-06,2.00E-06,2.00E-06,4.00E-06,7.00E-06,1.20E-05,2.10E-05,3.40E-05,5.30E-05,7.90E-05,1.12E-04,1.48E-04,1.83E-04,2.12E-04,2.32E-04,2.42E-04,2.43E-04,2.36E-04,2.27E-04,2.17E-04,2.09E-04,2.09E-04,2.15E-04,2.33E-04,2.65E-04,3.13E-04,3.58E-04,4.03E-04,4.40E-04,4.75E-04,4.43E-04,3.77E-04,3.49E-04,3.59E-04,3.55E-04,3.35E-04,3.51E-04,3.61E-04,3.43E-04,3.26E-04,3.00E-04,3.19E-04,3.10E-04,2.95E-04,2.33E-04,2.26E-04,1.87E-04,1.68E-04,1.57E-04,1.50E-04,1.46E-04,1.35E-04,1.33E-04,1.24E-04
18,0,0,0,0,0,0,0,1.00E-06,2.00E-06,4.00E-06,6.00E-06,1.10E-05,2.00E-05,3.30E-05,5.50E-05,8.70E-05,1.31E-04,1.89E-04,2.56E-04,3.26E-04,3.90E-04,4.39E-04,4.70E-04,4.81E-04,4.76E-04,4.59E-04,4.37E-04,4.13E-04,3.94E-04,3.82E-04,3.77E-04,3.83E-04,4.03E-04,4.16E-04,4.38E-04,4.64E-04,4.83E-04,4.52E-04,4.02E-04,3.88E-04,3.91E-04,3.93E-04,3.77E-04,4.05E-04,4.03E-04,4.09E-04,3.94E-04,3.67E-04,3.89E-04,3.85E-04,3.73E-04,3.03E-04,2.92E-04,2.28E-04,1.99E-04,1.91E-04,1.81E-04,1.74E-04,1.70E-04,1.59E-04,1.58E-04
19,0,0,0,0,0,0,0,1.00E-06,3.00E-06,5.00E-06,9.00E-06,1.60E-05,2.80E-05,4.80E-05,7.90E-05,1.26E-04,1.93E-04,2.81E-04,3.88E-04,5.04E-04,6.19E-04,7.17E-04,7.86E-04,8.24E-04,8.32E-04,8.14E-04,7.79E-04,7.39E-04,6.98E-04,6.62E-04,6.35E-04,6.15E-04,6.09E-04,5.86E-04,5.75E-04,5.75E-04,5.78E-04,5.27E-04,4.65E-04,4.54E-04,4.64E-04,4.60E-04,4.44E-04,4.82E-04,4.92E-04,4.90E-04,4.89E-04,4.60E-04,4.88E-04,4.82E-04,4.72E-04,3.85E-04,3.82E-04,2.99E-04,2.48E-04,2.31E-04,2.25E-04,2.14E-04,2.08E-04,2.04E-04,1.93E-04
20,0,0,0,0,0,0,0,2.00E-06,3.00E-06,7.00E-06,1.20E-05,2.20E-05,3.70E-05,6.30E-05,1.05E-04,1.69E-04,2.61E-04,3.85E-04,5.39E-04,7.12E-04,8.91E-04,0.001056,0.001188,0.001274,0.001313,0.001308,0.00127,0.001211,0.001148,0.001083,0.001025,9.78E-04,9.42E-04,8.73E-04,8.20E-04,7.81E-04,7.51E-04,6.64E-04,5.76E-04,5.55E-04,5.67E-04,5.62E-04,5.39E-04,5.88E-04,6.00E-04,6.09E-04,6.03E-04,5.77E-04,6.16E-04,6.07E-04,5.94E-04,4.87E-04,4.86E-04,3.92E-04,3.24E-04,2.89E-04,2.73E-04,2.68E-04,2.57E-04,2.51E-04,2.47E-04
