age,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,0,0,0,0,0,0,2.6e-06,3.2e-06,6e-06,1.09e-05,1.97e-05,3.46e-05,5.92e-05,9.88e-05,0.0001589,0.00024220000000000003,0.0003533,0.0004891,0.0006318000000000001,0.0007741,0.0009104,0.0010209,0.0011057,0.0011724,0.0012143,0.0012406000000000001,0.0012522000000000002,0.0012552000000000002,0.0012402000000000001,0.0012164,0.0011908,0.0011695000000000002,0.0011436999999999999,0.0011096,0.0009941000000000001,0.0008540000000000002,0.0007708,0.000784,0.0006607000000000001,0.0005743,0.0005415,0.0004537,0.00046530000000000003,0.0004167,0.0003938,0.00043000000000000004,0.00038310000000000004,0.00027100000000000003,0.000295,0.0001893,0.00016700000000000002,0.0001581,0.0001417,0.00012979999999999998,0.0001221,0.00011789999999999999,0.0001145,0.000112,0.00010970000000000001,0.00010770000000000002,0.0001058
1,0,0,0,0,0,0,0.0,2.0000000000000003e-06,2.4000000000000003e-06,4.6e-06,8.4e-06,1.5200000000000002e-05,2.6600000000000003e-05,4.5600000000000004e-05,7.6e-05,0.00012220000000000002,0.00018610000000000002,0.00027130000000000004,0.0003753,0.00048380000000000005,0.0005913,0.0006934,0.0007749,0.0008362,0.0008837,0.0009117999999999999,0.0009279000000000002,0.0009339000000000001,0.0009339000000000001,0.0009207,0.0009015000000000001,0.0008806,0.0008627,0.0008408000000000001,0.0008132,0.0007358,0.0006099,0.0005278,0.00044200000000000006,0.0003005,0.0002486,0.00020950000000000002,0.0002631,0.00019020000000000002,0.0001231,6.390000000000001e-05,4.72e-05,3.76e-05,0.00015010000000000002,8.740000000000001e-05,0.00015380000000000003,7.88e-05,7.05e-05,6.53e-05,4.94e-05,5.53e-05,5.47e-05,5.3e-05,5.0100000000000005e-05,4.78e-05,4.5900000000000004e-05
2,0,0,0,0,0,0,0.0,0.0,1.6e-06,1.8000000000000001e-06,3.5e-06,6.300000000000001e-06,1.1400000000000001e-05,2e-05,3.4200000000000005e-05,5.7e-05,9.15e-05,0.00013910000000000002,0.0002025,0.0002796,0.0003594,0.0004377,0.0005116,0.0005696,0.000612,0.0006446000000000001,0.0006627,0.0006722,0.0006752,0.0006738,0.0006634000000000001,0.0006488,0.0006332,0.0006192,0.0006028000000000001,0.0005927,0.0005232,0.0004207,0.0003641,0.00026890000000000003,0.0001887,0.000131,0.0001243,0.0001481,9.240000000000001e-05,5.34e-05,2.8200000000000004e-05,2.0900000000000003e-05,1.95e-05,7.13e-05,6.610000000000001e-05,9.04e-05,4.5900000000000004e-05,4.16e-05,3.52e-05,2.9100000000000003e-05,3.27e-05,3.23e-05,3.09e-05,2.9e-05,2.7400000000000002e-05
3,0,0,0,0,0,0,0.0,0.0,0.0,3.0000000000000004e-07,3.0000000000000004e-07,6.000000000000001e-07,1.2000000000000002e-06,2.1e-06,3.8000000000000005e-06,6.4e-06,1.0700000000000001e-05,1.72e-05,2.6200000000000003e-05,3.8100000000000005e-05,5.270000000000001e-05,6.790000000000001e-05,8.300000000000001e-05,9.72e-05,0.00010850000000000001,0.0001169,0.0001233,0.0001269,0.00012880000000000001,0.0001294,0.0001292,0.0001271,0.0001243,0.0001212,0.00011850000000000001,0.00011960000000000001,0.00011670000000000002,0.00010080000000000001,8.25e-05,6.86e-05,5.45e-05,4.0600000000000004e-05,3.01e-05,2.9500000000000002e-05,3.08e-05,2.16e-05,1.4999999999999999e-05,1.0700000000000001e-05,1.08e-05,9.800000000000001e-06,1.69e-05,1.58e-05,1.6100000000000002e-05,1.02e-05,9e-06,7.9e-06,7.100000000000001e-06,7.4e-06,7.2000000000000005e-06,6.8e-06,6.5e-06
4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0000000000000004e-07,3.0000000000000004e-07,6.000000000000001e-07,1.1e-06,2.1e-06,3.6000000000000003e-06,6.200000000000001e-06,1.03e-05,1.66e-05,2.5200000000000003e-05,3.68e-05,5.0900000000000004e-05,6.560000000000001e-05,8.01e-05,9.400000000000001e-05,0.0001049,0.000113,0.0001192,0.0001228,0.0001246,0.0001252,0.000125,0.000123,0.0001202,0.00011720000000000002,0.0001206,0.0001187,0.00010800000000000001,9.15e-05,7.17e-05,6.110000000000001e-05,4.92e-05,3.88e-05,2.96e-05,2.85e-05,2.8100000000000002e-05,2.06e-05,1.47e-05,1.1500000000000002e-05,1.0700000000000001e-05,1.02e-05,1.6400000000000002e-05,1.48e-05,1.4300000000000002e-05,9.3e-06,8.3e-06,7.499999999999999e-06,6.7e-06,6.8e-06,6.600000000000001e-06,6.300000000000001e-06
5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2e-07,2e-07,4e-07,8e-07,1.4000000000000001e-06,2.4000000000000003e-06,4.1000000000000006e-06,6.8e-06,1.09e-05,1.65e-05,2.39e-05,3.29e-05,4.2000000000000004e-05,5.08e-05,5.9000000000000004e-05,6.51e-05,6.939999999999999e-05,7.25e-05,7.390000000000001e-05,7.44e-05,7.43e-05,7.37e-05,7.22e-05,7.04e-05,7.010000000000001e-05,6.87e-05,6.37e-05,5.6800000000000005e-05,4.54e-05,3.77e-05,3.33e-05,2.9100000000000003e-05,2.4200000000000002e-05,1.9200000000000003e-05,1.8100000000000003e-05,1.73e-05,1.3300000000000001e-05,1.1000000000000001e-05,8.9e-06,9.7e-06,9.3e-06,1.0500000000000001e-05,1e-05,8.6e-06,6.300000000000001e-06,5.600000000000001e-06,5.1e-06,4.7e-06,4.7e-06,4.5e-06
6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,2e-07,4e-07,8e-07,1.4000000000000001e-06,2.4000000000000003e-06,4.1000000000000006e-06,6.9e-06,1.1000000000000001e-05,1.66e-05,2.4100000000000003e-05,3.3100000000000005e-05,4.22e-05,5.1099999999999995e-05,5.9300000000000005e-05,6.55e-05,6.98e-05,7.290000000000001e-05,7.44e-05,7.48e-05,7.48e-05,7.420000000000001e-05,7.27e-05,7.27e-05,7.2e-05,6.66e-05,6.0700000000000005e-05,5.17e-05,4.35e-05,3.57e-05,3.2800000000000004e-05,2.92e-05,2.43e-05,1.8900000000000002e-05,1.84e-05,1.7000000000000003e-05,1.46e-05,1.1000000000000001e-05,9.800000000000001e-06,1.04e-05,9.800000000000001e-06,1.06e-05,9.9e-06,8.4e-06,6.300000000000001e-06,5.7000000000000005e-06,5.1e-06,4.800000000000001e-06,4.7e-06
7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,2e-07,4e-07,8e-07,1.4000000000000001e-06,2.4000000000000003e-06,4.1000000000000006e-06,6.9e-06,1.1000000000000001e-05,1.66e-05,2.4100000000000003e-05,3.3100000000000005e-05,4.23e-05,5.12e-05,5.940000000000001e-05,6.560000000000001e-05,7.000000000000001e-05,7.31e-05,7.460000000000001e-05,7.510000000000001e-05,7.500000000000001e-05,7.44e-05,7.49e-05,7.400000000000001e-05,7.07e-05,6.52e-05,5.65e-05,5.1000000000000006e-05,4.21e-05,3.55e-05,3.3100000000000005e-05,2.96e-05,2.4e-05,1.93e-05,1.8200000000000002e-05,1.83e-05,1.3899999999999999e-05,1.2e-05,1.0500000000000001e-05,1.09e-05,1.03e-05,1.03e-05,9.9e-06,8.200000000000001e-06,6.4e-06,5.7000000000000005e-06,5.2e-06,4.800000000000001e-06
8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,2e-07,4e-07,8e-07,1.4000000000000001e-06,2.4000000000000003e-06,4.1000000000000006e-06,6.9e-06,1.1000000000000001e-05,1.66e-05,2.4100000000000003e-05,3.3100000000000005e-05,4.23e-05,5.1099999999999995e-05,5.940000000000001e-05,6.560000000000001e-05,6.99e-05,7.31e-05,7.460000000000001e-05,7.500000000000001e-05,7.49e-05,7.66e-05,7.65e-05,7.31e-05,6.890000000000001e-05,6.0400000000000004e-05,5.5599999999999996e-05,4.8700000000000005e-05,4.16e-05,3.57e-05,3.3e-05,2.87e-05,2.4200000000000002e-05,1.8900000000000002e-05,1.9600000000000002e-05,1.67e-05,1.49e-05,1.25e-05,1.08e-05,1.13e-05,1.04e-05,1.0100000000000002e-05,9.9e-06,8.000000000000001e-06,6.300000000000001e-06,5.7000000000000005e-06,5.1e-06
9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,2e-07,4e-07,8e-07,1.4000000000000001e-06,2.4000000000000003e-06,4.1000000000000006e-06,6.8e-06,1.09e-05,1.65e-05,2.4e-05,3.29e-05,4.21e-05,5.0900000000000004e-05,5.910000000000001e-05,6.53e-05,6.96e-05,7.280000000000001e-05,7.43e-05,7.470000000000001e-05,7.71e-05,7.79e-05,7.48e-05,7.07e-05,6.36e-05,5.940000000000001e-05,5.2600000000000005e-05,4.77e-05,4.1500000000000006e-05,3.57e-05,3.19e-05,2.9e-05,2.33e-05,2.05e-05,1.7899999999999998e-05,1.77e-05,1.54e-05,1.27e-05,1.11e-05,1.1500000000000002e-05,1.06e-05,1.0100000000000002e-05,1e-05,7.8e-06,6.300000000000001e-06,5.7000000000000005e-06
