Age,Year,Incidence,Sex
0,1970,0,m
5,1970,0,m
10,1970,0,m
15,1970,0,m
20,1970,0,m
25,1970,0,m
30,1970,0,m
35,1970,0,m
40,1970,0,m
45,1970,0,m
50,1970,0,m
55,1970,0,m
60,1970,0,m
65,1970,0,m
70,1970,0,m
75,1970,0,m
80,1970,0,m
0,1971,0,m
5,1971,0,m
10,1971,0,m
15,1971,0,m
20,1971,0,m
25,1971,0,m
30,1971,0,m
35,1971,0,m
40,1971,0,m
45,1971,0,m
50,1971,0,m
55,1971,0,m
60,1971,0,m
65,1971,0,m
70,1971,0,m
75,1971,0,m
80,1971,0,m
0,1972,0,m
5,1972,0,m
10,1972,0,m
15,1972,0,m
20,1972,0,m
25,1972,0,m
30,1972,0,m
35,1972,0,m
40,1972,0,m
45,1972,0,m
50,1972,0,m
55,1972,0,m
60,1972,0,m
65,1972,0,m
70,1972,0,m
75,1972,0,m
80,1972,0,m
0,1973,0,m
5,1973,0,m
10,1973,0,m
15,1973,0,m
20,1973,0,m
25,1973,0,m
30,1973,0,m
35,1973,0,m
40,1973,0,m
45,1973,0,m
50,1973,0,m
55,1973,0,m
60,1973,0,m
65,1973,0,m
70,1973,0,m
75,1973,0,m
80,1973,0,m
0,1974,0,m
5,1974,0,m
10,1974,0,m
15,1974,0,m
20,1974,0,m
25,1974,0,m
30,1974,0,m
35,1974,0,m
40,1974,0,m
45,1974,0,m
50,1974,0,m
55,1974,0,m
60,1974,0,m
65,1974,0,m
70,1974,0,m
75,1974,0,m
80,1974,0,m
0,1975,0,m
5,1975,0,m
10,1975,0,m
15,1975,0,m
20,1975,0,m
25,1975,0,m
30,1975,0,m
35,1975,0,m
40,1975,0,m
45,1975,0,m
50,1975,0,m
55,1975,0,m
60,1975,0,m
65,1975,0,m
70,1975,0,m
75,1975,0,m
80,1975,0,m
0,1976,3.67E-04,m
5,1976,0,m
10,1976,0,m
15,1976,0.00167251,m
20,1976,0.00455334,m
25,1976,0.00620402,m
30,1976,0.00662077,m
35,1976,0.00627141,m
40,1976,0.00564806,m
45,1976,0.00491035,m
50,1976,0.00420809,m
55,1976,0.00356185,m
60,1976,0.00301893,m
65,1976,0.00253748,m
70,1976,0.00215017,m
75,1976,0.00181124,m
80,1976,0,m
0,1977,3.91E-04,m
5,1977,0,m
10,1977,0,m
15,1977,0.00110074,m
20,1977,0.00299643,m
25,1977,0.00408872,m
30,1977,0.00435557,m
35,1977,0.0041245,m
40,1977,0.00371882,m
45,1977,0.00322932,m
50,1977,0.00277051,m
55,1977,0.00234137,m
60,1977,0.00198616,m
65,1977,0.00166696,m
70,1977,0.001416,m
75,1977,0.00118809,m
80,1977,0,m
0,1978,6.79E-04,m
5,1978,0,m
10,1978,0,m
15,1978,0.00165956,m
20,1978,0.00451639,m
25,1978,0.00619869,m
30,1978,0.00653276,m
35,1978,0.00622031,m
40,1978,0.00560266,m
45,1978,0.00486767,m
50,1978,0.00417501,m
55,1978,0.00352884,m
60,1978,0.00299129,m
65,1978,0.0025108,m
