Age,Year,Incidence,Sex
0,1970,0.0,m
5,1970,0.0,m
10,1970,0.0,m
15,1970,0.0,m
20,1970,0.0,m
25,1970,0.0,m
30,1970,0.0,m
35,1970,0.0,m
40,1970,0.0,m
45,1970,0.0,m
50,1970,0.0,m
55,1970,0.0,m
60,1970,0.0,m
65,1970,0.0,m
70,1970,0.0,m
75,1970,0.0,m
80,1970,0.0,m
0,1971,0.0,m
5,1971,0.0,m
10,1971,0.0,m
15,1971,0.0,m
20,1971,0.0,m
25,1971,0.0,m
30,1971,0.0,m
35,1971,0.0,m
40,1971,0.0,m
45,1971,0.0,m
50,1971,0.0,m
55,1971,0.0,m
60,1971,0.0,m
65,1971,0.0,m
70,1971,0.0,m
75,1971,0.0,m
80,1971,0.0,m
0,1972,0.0,m
5,1972,0.0,m
10,1972,0.0,m
15,1972,0.0,m
20,1972,0.0,m
25,1972,0.0,m
30,1972,0.0,m
35,1972,0.0,m
40,1972,0.0,m
45,1972,0.0,m
50,1972,0.0,m
55,1972,0.0,m
60,1972,0.0,m
65,1972,0.0,m
70,1972,0.0,m
75,1972,0.0,m
80,1972,0.0,m
0,1973,0.0,m
5,1973,0.0,m
10,1973,0.0,m
15,1973,0.0,m
20,1973,0.0,m
25,1973,0.0,m
30,1973,0.0,m
35,1973,0.0,m
40,1973,0.0,m
45,1973,0.0,m
50,1973,0.0,m
55,1973,0.0,m
60,1973,0.0,m
65,1973,0.0,m
70,1973,0.0,m
75,1973,0.0,m
80,1973,0.0,m
0,1974,0.0,m
5,1974,0.0,m
10,1974,0.0,m
15,1974,0.0,m
20,1974,0.0,m
25,1974,0.0,m
30,1974,0.0,m
35,1974,0.0,m
40,1974,0.0,m
45,1974,0.0,m
50,1974,0.0,m
55,1974,0.0,m
60,1974,0.0,m
65,1974,0.0,m
70,1974,0.0,m
75,1974,0.0,m
80,1974,0.0,m
0,1975,0.0,m
5,1975,0.0,m
10,1975,0.0,m
15,1975,0.0,m
20,1975,0.0,m
25,1975,0.0,m
30,1975,0.0,m
35,1975,0.0,m
40,1975,0.0,m
45,1975,0.0,m
50,1975,0.0,m
55,1975,0.0,m
60,1975,0.0,m
65,1975,0.0,m
70,1975,0.0,m
75,1975,0.0,m
80,1975,0.0,m
0,1976,3.67e-05,m
5,1976,0.0,m
10,1976,0.0,m
15,1976,0.00016725100000000002,m
20,1976,0.00045533400000000006,m
25,1976,0.000620402,m
30,1976,0.0006620770000000001,m
35,1976,0.000627141,m
40,1976,0.000564806,m
45,1976,0.000491035,m
50,1976,0.00042080900000000007,m
55,1976,0.000356185,m
60,1976,0.000301893,m
65,1976,0.000253748,m
