age,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,0,0,0,0,0,0,2.60E-05,3.20E-05,6.00E-05,1.09E-04,1.97E-04,3.46E-04,5.92E-04,9.88E-04,0.001589,0.002422,0.003533,0.004891,0.006318,0.007741,0.009104,0.010209,0.011057,0.011724,0.012143,0.012406,0.012522,0.012552,0.012402,0.012164,0.011908,0.011695,0.011437,0.011096,0.009941,0.00854,0.007708,0.00784,0.006607,0.005743,0.005415,0.004537,0.004653,0.004167,0.003938,0.0043,0.003831,0.00271,0.00295,0.001893,0.00167,0.001581,0.001417,0.001298,0.001221,0.001179,0.001145,0.00112,0.001097,0.001077,0.001058
1,0,0,0,0,0,0,0,2.00E-05,2.40E-05,4.60E-05,8.40E-05,1.53E-04,2.67E-04,4.58E-04,7.64E-04,0.001228,0.00187,0.002728,0.003773,0.004865,0.005946,0.006974,0.007795,0.008411,0.008889,0.009172,0.009334,0.009394,0.009395,0.009263,0.009069,0.008859,0.008679,0.008457,0.008179,0.007405,0.006141,0.005313,0.004449,0.003024,0.002501,0.002108,0.002646,0.001913,0.001237,6.42E-04,4.74E-04,3.78E-04,0.001509,8.79E-04,0.001547,7.92E-04,7.08E-04,6.57E-04,4.97E-04,5.56E-04,5.50E-04,5.33E-04,5.04E-04,4.81E-04,4.62E-04
2,0,0,0,0,0,0,0,0,1.60E-05,1.80E-05,3.50E-05,6.30E-05,1.15E-04,2.01E-04,3.43E-04,5.73E-04,9.19E-04,0.001398,0.002036,0.002811,0.003614,0.004402,0.005146,0.005729,0.006157,0.006485,0.006667,0.006763,0.006793,0.00678,0.006676,0.006529,0.006373,0.006232,0.006067,0.005963,0.005265,0.004235,0.003665,0.002706,0.001898,0.001317,0.00125,0.00149,9.29E-04,5.37E-04,2.83E-04,2.10E-04,1.96E-04,7.17E-04,6.64E-04,9.09E-04,4.61E-04,4.18E-04,3.54E-04,2.92E-04,3.29E-04,3.25E-04,3.11E-04,2.91E-04,2.76E-04
3,0,0,0,0,0,0,0,0,0,3.00E-06,3.00E-06,7.00E-06,1.20E-05,2.20E-05,3.80E-05,6.40E-05,1.08E-04,1.73E-04,2.63E-04,3.83E-04,5.30E-04,6.83E-04,8.34E-04,9.78E-04,0.001092,0.001176,0.00124,0.001277,0.001296,0.001302,0.0013,0.001279,0.001251,0.00122,0.001192,0.001204,0.001174,0.001014,8.30E-04,6.90E-04,5.49E-04,4.09E-04,3.03E-04,2.96E-04,3.09E-04,2.17E-04,1.51E-04,1.08E-04,1.08E-04,9.90E-05,1.70E-04,1.59E-04,1.61E-04,1.03E-04,9.00E-05,8.00E-05,7.10E-05,7.40E-05,7.20E-05,6.90E-05,6.50E-05
4,0,0,0,0,0,0,0,0,0,0,3.00E-06,3.00E-06,6.00E-06,1.10E-05,2.10E-05,3.60E-05,6.20E-05,1.04E-04,1.67E-04,2.54E-04,3.70E-04,5.12E-04,6.60E-04,8.06E-04,9.45E-04,0.001056,0.001138,0.0012,0.001236,0.001254,0.00126,0.001258,0.001238,0.00121,0.00118,0.001214,0.001195,0.001086,9.21E-04,7.21E-04,6.15E-04,4.95E-04,3.90E-04,2.98E-04,2.86E-04,2.83E-04,2.08E-04,1.47E-04,1.16E-04,1.07E-04,1.02E-04,1.65E-04,1.49E-04,1.44E-04,9.40E-05,8.30E-05,7.50E-05,6.70E-05,6.90E-05,6.70E-05,6.30E-05
5,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,8.00E-06,1.40E-05,2.40E-05,4.10E-05,6.90E-05,1.10E-04,1.66E-04,2.41E-04,3.31E-04,4.22E-04,5.11E-04,5.93E-04,6.54E-04,6.98E-04,7.29E-04,7.43E-04,7.48E-04,7.47E-04,7.42E-04,7.27E-04,7.08E-04,7.05E-04,6.91E-04,6.41E-04,5.71E-04,4.57E-04,3.79E-04,3.35E-04,2.93E-04,2.43E-04,1.93E-04,1.82E-04,1.73E-04,1.34E-04,1.11E-04,8.90E-05,9.70E-05,9.40E-05,1.05E-04,1.00E-04,8.60E-05,6.30E-05,5.70E-05,5.10E-05,4.70E-05,4.70E-05,4.50E-05
6,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,8.00E-06,1.40E-05,2.40E-05,4.10E-05,6.90E-05,1.10E-04,1.67E-04,2.42E-04,3.32E-04,4.25E-04,5.14E-04,5.97E-04,6.59E-04,7.02E-04,7.34E-04,7.48E-04,7.53E-04,7.52E-04,7.46E-04,7.31E-04,7.32E-04,7.24E-04,6.70E-04,6.11E-04,5.20E-04,4.37E-04,3.59E-04,3.29E-04,2.94E-04,2.44E-04,1.90E-04,1.85E-04,1.70E-04,1.46E-04,1.11E-04,9.90E-05,1.05E-04,9.80E-05,1.06E-04,1.00E-04,8.40E-05,6.30E-05,5.70E-05,5.20E-05,4.80E-05,4.70E-05
7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,8.00E-06,1.40E-05,2.40E-05,4.10E-05,6.90E-05,1.10E-04,1.67E-04,2.43E-04,3.33E-04,4.26E-04,5.15E-04,5.98E-04,6.60E-04,7.04E-04,7.36E-04,7.50E-04,7.55E-04,7.54E-04,7.49E-04,7.54E-04,7.45E-04,7.12E-04,6.56E-04,5.69E-04,5.13E-04,4.24E-04,3.58E-04,3.33E-04,2.98E-04,2.41E-04,1.94E-04,1.83E-04,1.84E-04,1.40E-04,1.21E-04,1.05E-04,1.10E-04,1.03E-04,1.04E-04,1.00E-04,8.20E-05,6.40E-05,5.80E-05,5.20E-05,4.80E-05
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,8.00E-06,1.40E-05,2.40E-05,4.10E-05,6.90E-05,1.10E-04,1.67E-04,2.42E-04,3.33E-04,4.25E-04,5.15E-04,5.98E-04,6.60E-04,7.03E-04,7.35E-04,7.50E-04,7.55E-04,7.54E-04,7.71E-04,7.69E-04,7.36E-04,6.93E-04,6.08E-04,5.59E-04,4.90E-04,4.19E-04,3.59E-04,3.32E-04,2.89E-04,2.43E-04,1.90E-04,1.97E-04,1.68E-04,1.50E-04,1.26E-04,1.08E-04,1.14E-04,1.04E-04,1.02E-04,1.00E-04,8.00E-05,6.40E-05,5.70E-05,5.10E-05
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,8.00E-06,1.40E-05,2.40E-05,4.10E-05,6.90E-05,1.10E-04,1.66E-04,2.41E-04,3.31E-04,4.23E-04,5.12E-04,5.95E-04,6.57E-04,7.00E-04,7.32E-04,7.47E-04,7.52E-04,7.76E-04,7.84E-04,7.53E-04,7.11E-04,6.40E-04,5.97E-04,5.29E-04,4.80E-04,4.18E-04,3.60E-04,3.21E-04,2.91E-04,2.34E-04,2.06E-04,1.80E-04,1.77E-04,1.55E-04,1.27E-04,1.12E-04,1.15E-04,1.06E-04,1.01E-04,1.00E-04,7.80E-05,6.30E-05,5.70E-05
