age,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,0,0,0,0,0,0,2.6e-06,3.2e-06,6e-06,1.09e-05,1.97e-05,3.46e-05,5.92e-05,9.88e-05,0.0001589,0.00024220000000000003,0.0003533,0.0004891,0.0006318000000000001,0.0007741,0.0009104,0.0010209,0.0011057,0.0011724,0.0012143,0.0012406000000000001,0.0012522000000000002,0.0012552000000000002,0.0012402000000000001,0.0012164,0.0011908,0.0011695000000000002,0.0011436999999999999,0.0011096,0.0009941000000000001,0.0008540000000000002,0.0007708,0.000784,0.0006607000000000001,0.0005743,0.0005415,0.0004537,0.00046530000000000003,0.0004167,0.0003938,0.00043000000000000004,0.00038310000000000004,0.00027100000000000003,0.000295,0.0001893,0.00016700000000000002,0.0001581,0.0001417,0.00012979999999999998,0.0001221,0.00011789999999999999,0.0001145,0.000112,0.00010970000000000001,0.00010770000000000002,0.0001058
1,0,0,0,0,0,0,0.0,2.0000000000000003e-06,2.4000000000000003e-06,4.6e-06,8.4e-06,1.5300000000000003e-05,2.67e-05,4.58e-05,7.640000000000001e-05,0.0001228,0.000187,0.0002728,0.0003773,0.00048650000000000006,0.0005946,0.0006974,0.0007795,0.0008411,0.0008889,0.0009172,0.0009334,0.0009394,0.0009395000000000001,0.0009263000000000001,0.0009069000000000001,0.0008859000000000001,0.0008679,0.0008457,0.0008179000000000001,0.0007405000000000001,0.0006141,0.0005313000000000001,0.0004449,0.00030240000000000003,0.0002501,0.00021080000000000003,0.0002646,0.00019130000000000001,0.0001237,6.42e-05,4.74e-05,3.7800000000000004e-05,0.0001509,8.790000000000001e-05,0.00015470000000000002,7.92e-05,7.08e-05,6.570000000000001e-05,4.970000000000001e-05,5.5599999999999996e-05,5.500000000000001e-05,5.330000000000001e-05,5.0400000000000005e-05,4.8100000000000004e-05,4.6200000000000005e-05
2,0,0,0,0,0,0,0.0,0.0,1.6e-06,1.8000000000000001e-06,3.5e-06,6.300000000000001e-06,1.1500000000000002e-05,2.01e-05,3.43e-05,5.730000000000001e-05,9.190000000000001e-05,0.0001398,0.00020360000000000002,0.0002811,0.0003614,0.00044019999999999997,0.0005146,0.0005729,0.0006157000000000001,0.0006485000000000001,0.0006667000000000001,0.0006763,0.0006793000000000001,0.000678,0.0006676,0.0006529000000000001,0.0006373,0.0006232,0.0006067000000000001,0.0005963000000000001,0.0005265,0.00042350000000000005,0.0003665,0.0002706,0.0001898,0.0001317,0.000125,0.00014900000000000002,9.290000000000001e-05,5.3700000000000004e-05,2.83e-05,2.1000000000000002e-05,1.9600000000000002e-05,7.17e-05,6.64e-05,9.09e-05,4.61e-05,4.1800000000000006e-05,3.54e-05,2.92e-05,3.29e-05,3.25e-05,3.1100000000000004e-05,2.9100000000000003e-05,2.76e-05
3,0,0,0,0,0,0,0.0,0.0,0.0,3.0000000000000004e-07,3.0000000000000004e-07,7.000000000000001e-07,1.2000000000000002e-06,2.2e-06,3.8000000000000005e-06,6.4e-06,1.08e-05,1.73e-05,2.6300000000000002e-05,3.83e-05,5.3e-05,6.83e-05,8.340000000000001e-05,9.779999999999999e-05,0.00010920000000000001,0.0001176,0.000124,0.0001277,0.0001296,0.0001302,0.00013,0.0001279,0.0001251,0.000122,0.0001192,0.0001204,0.0001174,0.0001014,8.300000000000001e-05,6.9e-05,5.4900000000000006e-05,4.0900000000000005e-05,3.03e-05,2.96e-05,3.09e-05,2.17e-05,1.5100000000000001e-05,1.08e-05,1.08e-05,9.9e-06,1.7000000000000003e-05,1.59e-05,1.6100000000000002e-05,1.03e-05,9e-06,8.000000000000001e-06,7.100000000000001e-06,7.4e-06,7.2000000000000005e-06,6.9e-06,6.5e-06
4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0000000000000004e-07,3.0000000000000004e-07,6.000000000000001e-07,1.1e-06,2.1e-06,3.6000000000000003e-06,6.200000000000001e-06,1.04e-05,1.67e-05,2.54e-05,3.7000000000000005e-05,5.12e-05,6.6e-05,8.060000000000001e-05,9.45e-05,0.00010560000000000002,0.0001138,0.00011999999999999999,0.0001236,0.00012539999999999999,0.000126,0.0001258,0.0001238,0.000121,0.00011800000000000001,0.00012140000000000001,0.00011950000000000002,0.0001086,9.210000000000002e-05,7.21e-05,6.15e-05,4.9500000000000004e-05,3.9e-05,2.98e-05,2.8600000000000004e-05,2.83e-05,2.08e-05,1.47e-05,1.16e-05,1.0700000000000001e-05,1.02e-05,1.65e-05,1.49e-05,1.4400000000000001e-05,9.4e-06,8.3e-06,7.499999999999999e-06,6.7e-06,6.9e-06,6.7e-06,6.300000000000001e-06
5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2e-07,2e-07,4e-07,8e-07,1.4000000000000001e-06,2.4000000000000003e-06,4.1000000000000006e-06,6.9e-06,1.1000000000000001e-05,1.66e-05,2.4100000000000003e-05,3.3100000000000005e-05,4.22e-05,5.1099999999999995e-05,5.9300000000000005e-05,6.54e-05,6.98e-05,7.290000000000001e-05,7.43e-05,7.48e-05,7.470000000000001e-05,7.420000000000001e-05,7.27e-05,7.08e-05,7.05e-05,6.91e-05,6.41e-05,5.7100000000000006e-05,4.57e-05,3.79e-05,3.35e-05,2.9300000000000004e-05,2.43e-05,1.93e-05,1.8200000000000002e-05,1.73e-05,1.34e-05,1.11e-05,8.9e-06,9.7e-06,9.4e-06,1.0500000000000001e-05,1e-05,8.6e-06,6.300000000000001e-06,5.7000000000000005e-06,5.1e-06,4.7e-06,4.7e-06,4.5e-06
6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,2e-07,4e-07,8e-07,1.4000000000000001e-06,2.4000000000000003e-06,4.1000000000000006e-06,6.9e-06,1.1000000000000001e-05,1.67e-05,2.4200000000000002e-05,3.32e-05,4.25e-05,5.14e-05,5.97e-05,6.59e-05,7.020000000000001e-05,7.34e-05,7.48e-05,7.53e-05,7.52e-05,7.460000000000001e-05,7.31e-05,7.32e-05,7.240000000000001e-05,6.7e-05,6.110000000000001e-05,5.2e-05,4.3700000000000005e-05,3.59e-05,3.29e-05,2.94e-05,2.44e-05,1.9e-05,1.8500000000000002e-05,1.7000000000000003e-05,1.46e-05,1.11e-05,9.9e-06,1.0500000000000001e-05,9.800000000000001e-06,1.06e-05,1e-05,8.4e-06,6.300000000000001e-06,5.7000000000000005e-06,5.2e-06,4.800000000000001e-06,4.7e-06
7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,2e-07,4e-07,8e-07,1.4000000000000001e-06,2.4000000000000003e-06,4.1000000000000006e-06,6.9e-06,1.1000000000000001e-05,1.67e-05,2.43e-05,3.33e-05,4.2600000000000005e-05,5.1500000000000005e-05,5.9800000000000003e-05,6.6e-05,7.04e-05,7.36e-05,7.500000000000001e-05,7.55e-05,7.54e-05,7.49e-05,7.54e-05,7.450000000000001e-05,7.12e-05,6.560000000000001e-05,5.69e-05,5.13e-05,4.24e-05,3.5799999999999996e-05,3.33e-05,2.98e-05,2.4100000000000003e-05,1.94e-05,1.83e-05,1.84e-05,1.4e-05,1.2100000000000001e-05,1.0500000000000001e-05,1.1000000000000001e-05,1.03e-05,1.04e-05,1e-05,8.200000000000001e-06,6.4e-06,5.8e-06,5.2e-06,4.800000000000001e-06
8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,2e-07,4e-07,8e-07,1.4000000000000001e-06,2.4000000000000003e-06,4.1000000000000006e-06,6.9e-06,1.1000000000000001e-05,1.67e-05,2.4200000000000002e-05,3.33e-05,4.25e-05,5.1500000000000005e-05,5.9800000000000003e-05,6.6e-05,7.03e-05,7.35e-05,7.500000000000001e-05,7.55e-05,7.54e-05,7.71e-05,7.690000000000001e-05,7.36e-05,6.93e-05,6.080000000000001e-05,5.5900000000000004e-05,4.9e-05,4.19e-05,3.59e-05,3.32e-05,2.8899999999999998e-05,2.43e-05,1.9e-05,1.97e-05,1.68e-05,1.4999999999999999e-05,1.2600000000000001e-05,1.08e-05,1.1400000000000001e-05,1.04e-05,1.02e-05,1e-05,8.000000000000001e-06,6.4e-06,5.7000000000000005e-06,5.1e-06
9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,2e-07,4e-07,8e-07,1.4000000000000001e-06,2.4000000000000003e-06,4.1000000000000006e-06,6.9e-06,1.1000000000000001e-05,1.66e-05,2.4100000000000003e-05,3.3100000000000005e-05,4.23e-05,5.12e-05,5.950000000000001e-05,6.570000000000001e-05,7.000000000000001e-05,7.32e-05,7.470000000000001e-05,7.52e-05,7.76e-05,7.840000000000001e-05,7.53e-05,7.110000000000001e-05,6.400000000000001e-05,5.97e-05,5.29e-05,4.8e-05,4.1800000000000006e-05,3.6e-05,3.21e-05,2.9100000000000003e-05,2.34e-05,2.06e-05,1.8e-05,1.77e-05,1.55e-05,1.27e-05,1.1200000000000001e-05,1.1500000000000002e-05,1.06e-05,1.0100000000000002e-05,1e-05,7.8e-06,6.300000000000001e-06,5.7000000000000005e-06
